Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
18-11-21,One 97(Paytm),18915.9,2.79,0.24,1.66,2150.00,1955.00,1564.15,-27.25,"1,360.30",-36.73
18-11-21,Sapphire Foods,2073,3.11,2.34,5.25,1180.00,1311.00,1216.05,3.06,"1,171.65",-0.71
15-11-21,SJS Enterprises,816.57,1.42,2.32,1.38,542.00,514.00,509.85,-5.93,439.80,-18.86
15-11-21,Sigachi Ind,0,42.15,78.82,41.26,163.00,575.00,603.75,270.4,543.55,233.47
15-11-21,PB Fintech,6273.5,9.83,2.58,1.67,980.00,1444.00,1202.90,22.74,"1,243.10",26.85
12-11-21,FINO Payments,1209,1.65,0.21,5.92,577.00,548.00,545.25,-5.5,397.10,-31.18
10-11-21,FSN E-Co(Nykaa),5375,91.18,112.02,12.24,1125.00,2001.00,2206.70,96.15,"2,097.80",86.47
11-10-21,ABSL AMC,2768,4.10,2.60,1.68,712.00,697.50,699.65,-1.73,593.70,-16.62
01-10-21,Paras Defence,181.13,90.48,435.14,61.42,175.00,475.00,498.75,185,685.50,291.71
24-09-21,Sansera Eng,1282,26.47,11.37,3.15,744.00,845.05,818.70,10.04,793.00,6.59
14-09-21,AMI Organics,571.96,86.64,154.81,13.36,610.00,902.00,934.55,53.2,903.30,48.08
14-09-21,Vijaya Diagnost,1895.04,13.07,1.32,1.09,531.00,542.30,619.30,16.63,575.20,8.32
06-09-21,APTUS VALUE,2790,32.41,33.91,1.35,353.00,360.00,374.05,5.96,341.65,-3.22
24-08-21,CHEMPLAST SANMA,3929.91,2.70,1.03,2.29,541.00,570.00,534.90,-1.13,583.75,7.90
23-08-21,Nuvoco Vistas,5089.29,0.10,0.02,0.24,570.00,471.00,531.30,-6.79,513.55,-9.90
20-08-21,CarTrade Tech,2998,0.55,0.09,0.81,1618.00,1600.00,1500.10,-7.29,"1,002.90",-38.02
16-08-21,Krsnaa Diagnost,1222,49.83,116.30,42.04,954.00,1025.00,990.75,3.85,631.45,-33.81
16-08-21,Windlas Biotech,405.95,24.40,15.73,24.27,460.00,439.00,406.70,-11.59,285.30,-37.98
16-08-21,Exxaro Tiles,161.09,17.67,5.36,40.10,120.00,126.00,132.25,10.21,142.20,18.50
16-08-21,Devyani Int,1858,95.27,213.06,39.52,90.00,141.00,123.35,37.06,153.15,70.17
09-08-21,Rolex Rings,732.27,143.58,360.11,24.49,900.00,1249.00,1166.55,29.62,"1,110.00",23.33
06-08-21,Glenmark Life,1513,0.98,0.87,4.61,720.00,752.00,748.20,3.92,612.40,-14.94
29-07-21,Tatva Chintan,500,2.55,9.78,13.36,1083.00,2111.80,2310.25,113.32,"2,621.00",142.01
23-07-21,Zomato,9375,51.79,32.96,7.45,76.00,115.00,125.85,65.59,150.05,97.43
19-07-21,Clean Science,1546,156.37,206.43,9.00,900.00,1784.40,1585.20,76.13,"2,090.00",132.22
19-07-21,G R Infra,963.28,93.18,73.01,4.89,837.00,1700.00,1746.80,108.7,"1,905.95",127.71
07-07-21,India Pesticide,800,2.64,1.36,4.40,296.00,360.00,335.45,13.33,302.30,2.13
05-07-21,Krishna Inst.,2146,5.26,1.89,2.90,825.00,1009.00,1096.80,32.95,"1,184.65",43.59
28-06-21,Dodla Dairy,521,84.88,73.26,11.34,428.00,550.00,609.10,42.31,558.40,30.47
24-06-21,Sona BLW,5550,1.57,0.22,0.66,291.00,302.40,362.85,24.69,695.90,139.14
24-06-21,Shyam Metalics,909,62.18,172.51,5.29,306.00,380.00,375.85,22.83,331.30,8.27
14-05-21,PowerGrid InvIT,7734.99,0.00,0.00,0.00,100.00,104.00,102.98,2.98,119.10,19.10
19-04-21,Macrotech Dev,2500,3.05,1.44,0.40,486.00,439.00,463.15,-4.7,"1,376.90",183.31
07-04-21,Barbeque Nat,453.6,0.00,0.00,0.00,500.00,492.00,590.40,18.08,"1,460.00",192.00
30-03-21,Nazara,582.91,52.82,148.42,34.49,1101.00,1971.00,1576.80,43.22,"2,209.15",100.65
26-03-21,Suryoday Small,582.34,2.18,1.31,3.09,305.00,274.75,276.20,-9.44,156.00,-48.85
26-03-21,Kalyan Jeweller,1175,1.18,0.97,1.47,87.00,73.90,75.30,-13.45,68.50,-21.26
25-03-21,Craftsman,823.7,0.56,0.05,1.04,1490.00,1440.00,1433.00,-3.83,"2,201.30",47.74
25-03-21,Laxmi Organic,600,1.13,0.73,4.41,130.00,173.00,164.60,26.62,414.65,218.96
24-03-21,Anupam Rasayan,760,30.80,62.06,4.62,555.00,534.70,525.90,-5.24,797.00,43.60
19-03-21,Easy Trip,510,0.00,2.79,14.48,187.00,182.00,208.30,11.39,497.65,166.12
15-03-21,MTAR Tech,596.41,52.01,522.35,12.78,575.00,990.05,1082.25,88.22,"1,876.05",226.27
05-03-21,Heranba,60,25.98,108.72,4.82,627.00,900.00,812.25,29.55,653.10,4.16
26-02-21,Railtel,819.24,22.03,51.40,7.08,94.00,109.00,121.40,29.15,119.00,26.60
25-02-21,Nureca,100,0.24,17.10,74.29,400.00,634.95,666.65,66.66,"1,398.00",249.50
05-02-21,Stove Kraft,412.63,8.02,32.72,26.04,385.00,498.00,445.95,15.83,974.35,153.08
03-02-21,Home First,1153.72,52.53,39.00,6.59,518.00,612.15,527.40,1.81,766.00,47.88
02-02-21,Indigo Paints,1170.56,96.21,115.76,6.50,1490.00,2607.50,3118.65,109.31,"2,330.10",56.38
29-01-21,IRFC,4633,0.89,0.52,1.59,26.00,25.00,24.85,-4.42,23.65,-9.04
01-01-21,Antony Waste,300.53,0.64,0.28,7.22,315.00,430.00,407.25,29.29,287.00,-8.89
24-12-20,Bectors Food,540.54,176.85,620.86,29.33,288.00,501.00,595.55,106.79,394.05,36.82
14-12-20,Burger King,796.5,86.64,354.11,68.15,60.00,115.35,138.40,130.67,151.30,152.17
20-11-20,Gland,6479.55,6.40,0.51,0.24,1500.00,1710.00,1820.45,21.36,"3,483.70",132.25
02-11-20,Equitas Bank,517.6,3.91,0.22,2.08,33.00,31.00,32.75,-0.76,62.70,90.00
12-10-20,Mazagon Dock,443.69,89.71,678.88,35.63,145.00,216.25,173.00,19.31,272.55,87.97
12-10-20,UTI AMC,2159.88,3.34,0.93,2.32,554.00,476.20,476.60,-13.97,"1,014.25",83.08
05-10-20,Angel One,600,5.74,0.69,4.31,306.00,275.00,275.85,-9.85,"1,061.80",246.99
01-10-20,Chemcon Special,318,113.54,449.14,41.21,340.00,731.00,584.80,72,353.30,3.91
01-10-20,CAMS,2244.33,73.18,111.85,5.55,1230.00,1535.00,1401.60,13.95,"2,980.95",142.35
21-09-20,Route,600,89.76,192.81,12.67,350.00,708.00,651.10,86.03,"1,834.20",424.06
17-09-20,Happiest Minds ,702.02,77.43,351.46,70.94,166.00,351.00,371.00,123.49,"1,233.80",643.25
23-07-20,Rossari,496.25,2.75,4.34,2.51,425.00,670.00,742.35,74.67,"1,389.00",226.82
16-03-20,SBI Card,10286.2,57.18,45.23,2.50,755.00,658.00,683.20,-9.51,"1,008.90",33.63
30-12-19,Prince Pipes,500,3.54,1.21,1.89,178.00,160.00,166.60,-6.4,796.00,347.19
12-12-19,Ujjivan Small,750,110.72,473.00,49.09,37.00,58.75,55.90,51.08,19.10,-48.38
04-12-19,CSB Bank,409.68,38.85,45.49,9.01,195.00,275.00,300.10,53.9,284.00,45.64
14-10-19,IRCTC,635.04,108.79,354.52,14.94,320.00,644.00,145.72,-54.46,886.40,177.00
20-08-19,Sterling & Wils,3125,1.02,0.89,0.30,780.00,700.00,725.35,-7.01,401.00,-48.59
04-07-19,Indiamart Inter,474.12,30.83,62.13,14.07,973.00,1180.00,1302.55,33.87,"7,670.80",688.37
08-05-19,Neogen,131.48,30.49,113.88,16.06,0.00,251.00,263.55,0,"1,295.00",
15-04-19,Metropolis,1200.18,8.88,3.03,2.21,880.00,960.00,959.55,9.04,"3,009.05",241.94
11-04-19,Rail Vikas,430.88,1.36,0.80,2.92,19.00,19.00,19.05,0.26,34.85,83.42
01-04-19,Embassy Office,4750,2.15,3.09,0.31,300.00,300.00,314.10,4.7,367.51,22.50
29-03-19,MSTC,213.81,1.13,2.15,2.95,128.00,111.00,114.20,-10.78,347.30,171.33
07-02-19,Chalet Hotels,1628.84,4.66,1.10,0.03,280.00,291.00,290.40,3.71,252.70,-9.75
04-02-19,Xelpmoc Design ,23,1.24,7.69,2.64,66.00,56.00,58.80,-10.91,389.95,490.83
08-10-18,AAVAS Financier,1729.2,2.77,0.26,0.25,821.00,758.00,773.15,-5.83,"2,775.30",238.04
23-08-18,CreditAccess Gr,1126.44,5.52,0.98,0.88,422.00,393.00,420.80,-0.28,570.35,35.15
30-07-18,TCNS Clothing C,1121.98,13.47,5.08,0.67,716.00,715.00,657.80,-8.13,818.15,14.27
02-07-18,RITES,453.6,71.72,194.56,15.74,185.00,190.00,170.16,-8.02,281.05,51.92
